Baxazole-D    (Baxter )
Actifed-P    (Gsk)
Actifen    (Gsk)
Actifer    (Zain)
Actiflor    (Pharmevo)
Actigem    (Ferozson)
Actilix-Ctz    (Gsk)
Actim    (Sami)
Actiron Cf    (Murfy)
Actival    (Polyfine)
Active P    (Progressive Lab)
Activital    (Zain)
Actolaze    (Agp)
Actomil    (Pharmako)
Actonel    (Aventis)
Actonel Oaw    (Aventis)
Actose    (Tabros)
Actrapid  Penfill    (Novo)
Actrapid ®  Innolet ®    (Novo)
Actrapid Hm    (Novo)
Actrapid Novolet    (Novo)
Actum    (Standpharm)
Acugesic    (Gsk)
Aculac    (Accurate)
Acumen    (Rakaposhi)
Acupan    (Searle)
Acupaz    (Glitz)
Acure    (Pharmix)
Acuron    (Brookes)
Acusef    (Lcpw)
Acyclovir    (Haji)
Acyclovir    (Abbott)
Acylex    (Ferozson)
Acyrovin    (Tfc Pharma)
Acywel    (Zeb)
Aczon    (Global)
Ada-Cef    (Adamjee)
Adablizer    (Adamjee)
Adacillin    (Adamjee)
Adacip    (Adamjee)
Adaclox    (Adamjee)
Adalat    (Bayer)
Adalat La    (Bayer)
Adalat Retard    (Bayer)
Adalat-Cc    (Bayer)
Adalene    (Medera)
Adalgin    (Adamjee)
Adalin    (Macter)
Adamon    (Agp)
Adamox    (Adamjee)
Adan    (Webrose)
Adapco    (Atco)
Adaplus    (Biogen)
Adaxit    (Polyfine)
Add-Zinc    (Friends)
Addfer-F    (Atco)
Ade    (Pharmako)
Adecaine With Adrenaline    (Pdh)
Adefass    (Fassgen)
Adefo    (Shrooq)
Adefo    (Scilife)
Adela    (Getz)
Adene    (Aims)
Adenofort    (Star)
Adenuric    (S.J.& G)
Adeowin    (Orta)
Adewel    (Welmark)
Adgen    (Gene-Tech Labs)
Adicos    (Zafa)
Adicos-M    (Zafa)
Adiflox    (Davis)
Adin    (Nimrall)
Adine    (Pfizer)
Adios    (Wilshire)
Adipen    (Lisko)
Adira    (Wilshire)
Adix    (Nenza)
Adjex    (Bloom)
Adlevo    (Medisynth )
Adloxin    (High-Q)
Adolan    (Siza)
Adonat    (Medizan Lab)
Adonax    (Evron)
Adoptin    (Fynk)
Adoptine    (Tread)
Adox    (Shazal)
Adoxa    (Pharma Health)
Adoxil    (Mega Pharma)
Adrenaal    (Cirin)
Adrenaline    (Elite)
Adrenaline    (Pdh)
Adrenaline    (Venus)
Adriblastina-Rd    (Pfizer)
Adrim    (Atco)
Adronate    (Jinnah)
Adronil    (Searle)
Adrowin    (Wnsfeild)
Ads    (Wilshire)
Advacal    (Amarant)
Advance    (Scotmann)
Advant    (Getz)
Advantan    (Bayer)
Advantan Fatty    (Bayer)
Advantec    (Getz)
Advil    (Aries)
Advir    (Amson)
Adwin    (Bloom)
Adwotex    (Bloom)
Adytum    (Macter)
Adytum-H    (Macter)
Adzol    (Glitz)
Adzone    (Farm)
Aeconec    (Goodman L)
Aerius    (Dermagen)
Aerius Plus    (Mass)
Aerobay    (Bayer)
Aerocef    (Raazee)
Aerokast    (Barrett)
Aerolin    (Ankaz)
Aerolin Evohaler    (Gsk)
Aeromax    (Shrooq)
Aerotec    (Rasco)
Aerotec-B    (Highnoon)
Aerotec-B Forte    (Highnoon)
Aerotel    (Highnoon)
Aerotel Chewable    (Highnoon)
Afalor    (Biolabs)
Afdol    (Agp)
Aferdoze    (Nabiqasim)
Afert    (Genix)
Afex    (Shaheen)
Afimol    (Star)
Afinitor    (Novartis)
Afipime    (Agror)
Afixim    (Usawa)
Afixime    (Usawa)
Afloxan    (Popular)
Afna-Vit    (Jafson)
Afnac    (Tg)
Afomit    (Alliance)
Aforal    (Derma Tech)
Afoxin    (Agp)
Afracin    (Ccl)
Afran    (Genome)
Afrazid    (Ccl)
Afrazid Inh    (Ccl)
Afrazid-P    (Ccl)
Afrovil    (Fumy)
Ag-Ceph    (Saydon)
Ag-Cin    (Saydon)
Ag-Clor    (Saydon)
Ag-Drox    (Saydon)
Ag-Fix    (Saydon)
Agamid    (Pharmawise)
Agapurin    (Neo)
Agat    (Alliance)
Agemix    (Alliance)
Agemo    (Cedar)
Aggrastat    (Atco)
Agile    (Wilshire)
Agile Forte    (Wilshire)
Agile Sr    (Wilshire)
Agnese    (Saffron)
Agolix    (Hiranis)
Agonil    (Pak)
Agopton    (Helix)
Agorid    (Standpharm)
Agout    (Mega Pharma)
Agpride    (Agp)
Agranil    (Medipak)
Agrippal-S1    (Novartis)
Agrocef    (Agror)
Agrodine    (Agror)
Agrofix    (Agror)
Agyl    (Webrose)
Aidra    (Wilshire)
Aika    (Linz)
Aimed    (Rakaposhi)
Aimpra    (Aims)
Aimprazone    (Aims)
Aimsicort    (Aims)
Aimus    (Aims)
Aireez    (Pharmevo)
Airex    (Biorex)
Airflo    (Amson)
Airol    (Pharma Health)
Airtal    (Highnoon)
Airtal Er    (Highnoon)
Airvent    (Shrooq)
Aixylix    (Alliance)
Aiz    (Avital Pharma)
Akilum    (Glitz)
Akilum Plus    (Glitz)
Akinase    (Akhai)
Aknal    (Akhai)
Akne Ban-G    (Wilshire)
Akne Ban-T    (Wilshire)
Akne Image    (Wilshire)
Aknefin    (Wise)
Aknekream    (Werrick)
Aknidox    (Dermagen)
Aknonil    (Wilshire)
Akodine    (Akhai)
Akpran    (Akhai)
Aksidrin    (Akson)
Aksilez-V    (Ccl)
Aksilez-V Plus    (Ccl)
Akso-D    (Akson)
Aksocain    (Akson)
Aksocam    (Akson)
Aksocil    (Akson)
Aksodryl    (Akson)
Aksofen    (Akson)
Aksofenac    (Akson)
Aksohep    (Akson)
Aksolox    (Akson)
Aksopep    (Akson)
Aksopol    (Akson)
Aksopressor    (Akson)
Aksopril    (Akson)
Aksosef    (Akson)
Aksotin    (Akson)
Aksoton    (Akson)
Aksotran    (Akson)
Aksoxime    (Akson)
Aksozine    (Akson)
Aksozol    (Akson)
Aktis    (Epoch)
Aktofen    (Alliance)
Akurate    (Envoy)
Akzith    (Akson)
Al 110    (Nestle)
Al Flox    (Alina)
Al-Bact    (Qintar)
Al-Culose    (Macquins)
Al-Fen    (Alina)
Al-Pridone    (Macquins)
Aladin    (Bio Pharma)
Aladix    (Bryon)
Alamcid    (Swiss Pharma)
Alamin    (Candid)
Aland    (Heal)
Alandat    (Swan)
Alar    (Searle)
Alar Plus    (Searle)
Alarza    (Max)
Alba    (Pakheim)
Albacat    (Nabiqasim)
Albacit    (Albro)
Albact    (Nabiqasim)
Albadrox    (Albro)
Albagen    (Genera)
Albaxim    (Albro)
Albaxime    (Albro)
Albaxon    (Albro)
Alben    (Bryon)
Albendazole    (Batala)
Albendix    (Neo)
Albendo    (Davis)
Albendol    (Vision)
Albensel    (Selmore)
Albenza    (Paramount)
Alberta    (Tagma)
Albicost    (Shrooq)
Albimin    (Shrooq)
Albizole    (Lexicon)
Albizole Vag    (Ambrosia)
Albokast    (Albro)
Albone    (Alson)
Albone D    (Alliance)
Alboplex    (Albro)
Albothram    (Mass)
Albrocef    (Albro)
Albrotran    (Albro)
Albuman Berna    (Hakimsons)
Albumeon    (Ibl)
Albumin Human    (Novo)
Albumin Human    (Nabiqasim)
Albumin Kgcc    (Genesis)
Albutien    (S.Ejazuddin)
Alcaine    (Novartis)
Alcal    (Highnoon)
Alcasar    (Pharmedic)
Alce    (Derma Tech)
Alcef    (Alina)
Alchroquin    (Alson)
Alcide    (Alson)
Alcidol    (Everest)
Alcidol    (Miracle)
Alcifix    (Accurate)
Alcin    (Alina)
Alciron    (Genome)
Alcit    (Hizat)
Alcof D    (Alina)
Alcof E    (Alina)
Alcrabane    (Alson)
Aldactazide    (Searle)
Aldactone    (Searle)
Aldactone-A    (Searle)
Aldal    (Alson)
Aldalysine    (Pliva)
Aldaplex    (Pliva)
Aldaplex Forte    (Pliva)
Aldine    (Alson)
Aldo Spray Analgesico    (Genesis)
Aldomet    (Obs)
Aldonate    (Ambrosia)
Aldopa    (Irza)
Aldopress    (Mbl)
Aldoxy    (Alson)
Aldron    (Harmann)
Aleeva    (Kings)
Alegra    (Tagma)
Alemax    (Medera)
Alen-Dro    (Semos)
Alena    (Cherwel)
Alenbit    (Meezab Int.)
Alendo-Tab D    (Himont Pharma)
Alendra    (Miracle)
Alendrate    (Global)
Alendroflex    (Novins)
Alendroflex D    (Novins)
Alendroscot    (Scotmann)
Alenkeu    (High-Q)
Alenor    (Macter)
Alenor Reditab    (Macter)
Alenso    (Goodman L)
Alensum    (Goodman L)
Aler    (Lloyds)
Aleraway    (Medifine)
Alercid    (Alina)
Alerde    (Zeb)
Alerease    (Siza)
Alerfass    (Fassgen)
Alerfex    (Genome)
Alerfree    (Benson)
Alergifen    (Neutro)
Alergino    (Saydon)
Alergo    (Pharmix)
Alergocit    (Global)
Alerid    (Pharmatec)
Alerkast    (Medifine)
Alersap    (Sapient)
Alert    (Rakaposhi)
Alertal    (Century)
Alertine    (Century)
Alerwise    (Pharmawise)
Aleryan    (Roryan Pharma)
Alerzine    (Medera)
Aletris Cordial    (Pdh)
Aletrisgold    (Salza)
Aleve    (Aries)
Alevia    (Atco)
Alevia-V    (Atco)
Alex    (Innvotek)
Alexan    (Bio Pharma)
Alexin    (Alson)
Alexon    (Biorex)
Alfa-D    (Platinum)
Alfabone    (Rakaposhi)
Alfacal    (Zesion)
Alfacare    (Cherwel)
Alfadal    (Shaheen)
Alfadin    (Danas)
Alfadix    (Neo)
Alfadox    (Swan)
Alfafenac    (Alfalah Pharma)
Alfagen    (Genome)
Alfagood    (Goodman L)
Alfagrel    (Alfalah Pharma)
Alfakalium    (Alfalah Pharma)
Alfalor    (Alfalah Pharma)
Alfalor Cap    (Biolabs)
Alfamak    (Makson)
Alfamax    (Platinum)
Alfas    (Fassgen)
Alfasun    (Hisun)
Alfavit    (Polyfine)
Alfoz    (Fozan)
Alfumet    (Wilshire)
Alfung    (W & Ali)
Alfuprozin    (Novins)
Alfur    (Albro)
Algac    (Hygeia)
Algaphan    (Efroze)
Algecare    (Olive Labs)
Algetin    (Bloom)
Algezen    (Olive Labs)
Algicon    (Xenon)
Algimaz    (Hamaz)
Algixim    (E Pharm)
Algocin    (Agp)
Alicam    (Webrose)
Alidase    (Olive Labs)
Alide    (Pharmix)
Aligant    (Envoy)
Alimta    (Lilly)
Alinadol    (Alina)
Alinadol Paediatric    (Alina)
Alinadol Plus    (Alina)
Alinamin-F    (Helix)
Alipro    (Alliance)
Alitox    (Alliance)
Alium    (Amros)
Alix    (Nexus)
Alixin    (Alina)
Aliz    (Glitz)
Alkacitron    (Pdh)
Alkacitron Plus    (Pdh)
Alkagex    (Baxter )
Alkaseptic    (Sharex)
Alkemy Gripe Water    (Alkemy)
Alkeris    (Sami)
Alket    (Alson)
Alkymer    (Neo)
Allamine    (Shafaz)
Allday      (Werrick)
Allday-H      (Werrick)
Allegra    (Helix)
Aller    (Lotus)
Allerfedin    (Heal)
Allerget    (Muller)
Allergex    (Nabiqasim)
Allergia    (Mass)
Allergid    (Hygeia)
Allergocrom    (Ursapharm)
Allergofex    (Leads)
Allergofex Plus    (Leads)
Allergon    (Medicraft)
Allergycare    (Care Pharma)
Allermine    (Krka-Pak)
Allerno    (Well)
Allerphene    (Pdh)
Allerplex    (Pliva)
Allersal    (Opal)
Allervil    (Indus)
Allerwood    (Woodward)
Allerzin    (Synchro)
Allest    (Wise)
Allicam    (Webrose)
Allifer    (Alliance)
Alligesic    (Alied)
Allopure    (Zeb)
Allorat    (Polyfine)
Allorx    (Raazee)
Allos    (Adamjee)
Allum    (Alson)
Almacid    (Swiss Pharma)
Almagel    (Zafa)
Almajex    (Medisearch)
Almasim    (Fedro)
Almeb    (Alson)
Almed    (Raazee)
Almedon    (Alina)
Almef    (Alson)
Almef Fort    (Alson)
Almeg    (Lisko)
Almendal    (Alson)
Almicobal    (Alson)
Almiron    (Muller)
Almit    (Webrose)
Almivir    (Shrooq)
Almogyl    (Alina)
Almol    (Alson)
Almont    (Alson)
Almox    (Alson)
Almunol    (Alliance)
Almyter    (Alson)
Alnapro    (Macquins)
Aloc    (Bosch)
Aloc D    (Bosch)
Aloclair    (Pharmatec)
Alofex    (Derma Tech)
Alogen    (Alina)
Alomep    (Alson)
Alomide    (Novartis)
Alonate-D      (Neo)
Alopra    (Popular)
Alor    (Alina)
Aloram    (Global)
Aloran    (Aries)
Aloret    (Pharma Health)
Alosef    (Aventek)
Alovac    (Siza)
Alovic    (Alliance)
Aloxi    (Alson)
Aloxime    (Macquins)
Aloxin    (Alson)
Alp    (Hilton)
Alpamed    (Medifine)
Alpax    (Efroze)
Alpazol    (Medicaids)
Alpha Virin    (Hamaz)
Alpha-Plus    (Rotex)
Alphacip    (Vision)
Alphacoline    (High-Q)
Alphaferoi    (Hoffman)
Alphagan    (Barrett)
Alphem    (Alson)
Alphrin    (Qureshi)
Alpodox    (Medicaids)
Alposim    (Neutro)
Alpram    (Akhai)
Alpranax    (Star)
Alprazota    (Orta)
Alprof    (Alson)
Alprox    (Searle)
Alral    (Alson)
Alren    (Alson)
Alrin    (Ccl)
Alromet    (Lexicon)
Alsigor    (Alson)
Alsolide    (Alson)
Alstar    (Alied)
Alt    (Xenon)
Altad    (Alson)
Altal    (Alson)
Altamal    (Hisun)
Altelum    (Genera)
Alten    (Medipak)
Altim    (Jaens)
Altolip    (Webrose)
Altoron    (Helix)
Altoron Eye Drops    (Helix)
Altramet    (Novartis)
Alucaine    (Star)
Alucid    (Kci)
Alucid Mp    (Kci)
Alukast    (Alliance)
Alumax    (Axis)
Alumico    (Regent)
Aluminium Hydroxide    (Star)
Alunmag Plus    (Hassan)
Alupep    (Shaheen)
Aluphagel    (Opal)
Alusim    (Atlantic)
Alusulin    (Medimpex)
Alveo    (Prime)
Alvidox    (Alson)
Alvit F    (Alina)
Alvit-B    (Alina)
Alvoxine    (Amarant)
Alvozine    (Amarant)
Alwel    (Wnsfeild)
Alworm    (Alson)
Alxolax    (Don Valley)
Alzera    (Dr.Raza)
Alzex    (Alson)
Alzex    (Platinum)
Alzilo    (Searle)
Alzine    (Biogenics)
Alzirid    (Global)
Alzolid    (Lexicon)
Am Descol    (Nabiqasim)
Am-D3    (Munawar)
Am-Phylline    (Mediceena)
Am-Telsan    (Hilton)
Amacure    (Jawa)
Amadol    (Pharman)
Amadol Extra    (Harmann)
Amalar    (Bloom)
Amante-Pf    (Noa Hemis)
Amantin    (Gene-Tech Labs)
Amarit    (Reko)
Amaryl    (Aventis)
Amaryl M    (Aventis)
Amaze    (Bryon)
Amazole    (Medera)
Ambac    (Bosch)
Ambalta    (Amarant)
Amber    (Rakaposhi)
Ambiclor    (Paramount)
Ambilin    (Mbl)
Ambin    (Mass)
Ambit    (Pakheim)
Ambizole    (Dosaco)
Ambizole Plus    (Dosaco)
Amblum    (Meezab Int.)
Amblum Fort Ds    (Amarant)
Amblum Forte    (Lexicon)
Ambozial    (Ambrosia)
Ambri    (Genix)
Ambricil    (Ambrosia)
Ambrilium    (Ambrosia)
Ambrodic    (Ambrosia)
Ambrodic-H    (Ambrosia)
Ambrofen    (Jawa)
Ambrogesic    (Icon)
Ambrovate    (Ambrosia)
Ambutol    (Pharmawise)
Amcam    (Regent)
Amchlo    (Medicraft)
Amchol    (Pharmawise)
Amcin    (Biolabs)
Amcinide    (Valor)
Amclav    (Getz)
Amclotrim    (Aims)
Amclotrim V    (Aims)
Amcobal    (Amson)
Amcodrin    (Epla)
Amcof    (Marvi)
Amcopen    (Kci)
Amcoride    (Lisko)
Amcough    (Munawar)
Amdaquin    (Zafa)
Amdiapac    (Gray'S)
Amdic    (Amros)
Amdik    (Amros)
Amdipine    (Nabiqasim)
Amdocal    (Bex)
Amdoxine    (Amson)
Amecide    (Epla)
Amecin    (Noble)
Amenorit    (Lisko)
Ameobia    (Olive)
Ames    (Lexicon)
Amesure    (Medisure)
Ametic    (Mbl)
Amezole    (Ferozson)
Amfac    (Ambrosia)
Amfax    (Amson)
Amfax  Xr    (Amson)
Amfic    (Amros)
Amflox    (Alson)
Amgecon    (Neutro)
Amgy    (Kobec)
Amgydex    (Kobec)
Amibalamin    (Ambrosia)
Amibazol    (Geofman)
Amic    (Libra)
Amicil    (Ankaz)
Amicin    (Star)
Amiclar    (Westmed)
Amidiapac    (Gray'S)
Amidilllin Asthmatic    (Shifa)
Amidol    (Bloom)
Amifate    (Candid)
Amifos    (Pharmedic)
Amigo    (Maple)
Amika    (Prix)
Amikacin    (Zafa)
Amikaneu    (Neutro)
Amikaran    (Orta)
Amikarex    (Rex)
Amikase    (Neo)
Amikaye    (High-Q)
Amikin    (Gsk)
Amikoside    (Pdh)
Amil    (Brookes)
Aminess-N    (Mds)
Amino Acid    (Raazee)
Amino Fuel-900    (Neutro)
Aminocin    (Macquins)
Aminogent    (Valor)
Aminoleban    (Otsuka)
Aminoleban Oral    (Otsuka)
Aminolin    (Qureshi)
Aminomac 10%    (Mac & Rans)
Aminomux    (Seignior)
Aminophylline    (Mian)
Aminophylline    (Munawar)
Aminophylline    (Unexo)
Aminophylline    (Lcpw)
Aminophylline    (Lisko)
Aminoplasmal    (Usmanco)
Aminoplasmal-E5    (Usmanco)
Aminoplasmal-L10    (Usmanco)
Aminoplasmal� Hepa    (Usmanco)
Aminorains    (Mac & Rans)
Aminosol S.V    (Mac & Rans)
Aminosteril    (Medipak)
Aminothol-D    (Hassan)
Aminovel-600    (Otsuka)
Aminovenous Paeds    (Medipak)
Aminovit    (Unipharma)
Amipime    (Imco)
Amisol    (Mac & Rans)
Amisped    (Aventis)
Amisul    (Ophth-Pharma)
Amitin    (Glitz)
Amitryp    (Dr.Raza)
Amity    (Scotmann)
Amizin    (Akson)
Amizip    (Shawan)
Amizole    (Ankaz)
Amizone    (Global)
Amkay    (Bosch)
Amkeen    (Drugs)
Aml    (Batala)
Amlanic    (Mediceena)
Amlat    (Amson)
Amlepo    (Amarant)
Amlin    (Amros)
Amlobest    (Pearl)
Amlocard    (Pharmatec)
Amlod    (Atco)
Amlodip    (Searle)
Amlofine    (Medline)
Amlomak    (Makson)
Amlomed    (Medifine)
Amlopal    (Alson)
Amlopin    (Shaigan)
Amlopro    (Wnsfeild)
Amlosaf    (Saaaf)
Amlosyl    (Lexicon)
Amlotac    (Hygeia)
Amlotin    (Standpharm)
Amlowan    (Nawan Labs)
Amlozan    (Medizan Lab)
Ammodryl    (Pdh)
Ammofed    (Fedro)
Ammoidin    (Sami)
Ammonica    (Progressive Lab)
Ammonium Chloride    (Harmann)
Ammonium Chloride    (Lcpw)
Ammonium Chloride    (Amros)
Ammonium Chloride    (Ferozson)
Ammonium Chloride    (Medicaids)
Ammoride    (Syntex)
Ammotus    (Krka-Pak)
Amnic    (Jawa)
Amnoril    (Medicraft)
Amo-Clav Injection    (English)
Amobizole    (Makson)
Amocillin    (Ccl)
Amoclav    (Irza)
Amodip    (Mass)
Amodip Plus    (Mass)
Amodip-V    (Mass)
Amofen    (Ameer Pharma)
Amogel    (Amros)
Amogyl    (Davis)
Amole    (Libra)
Amole Forte    (Libra)
Amole Paedatric    (Libra)
Amole Plus    (Libra)
Amole Power    (Libra)
Amole Q.S.    (Libra)
Amolexin    (Lexicon)
Amolin    (F.M)
Amolive    (Olive)
Amonaf    (Nafar)
Amoni    (Wilshire)
Amonil    (Regent)
Amonium Chloride    (Shifa)
Amop    (Alliance)
Amoquine    (Progressive Lab)
Amorade    (Lexicon)
Amorin    (Mass)
Amorob    (Saffron)
Amostatin    (Obs)
Amostin    (Fassgen)
Amotac    (Mass)
Amotel    (Ideal)
Amotide    (Genix)
Amotrip    (Pharmedic)
Amovasc    (Noa Hemis)
Amox    (Euro)
Amoxascot    (Scotmann)
Amoxazol    (Amros)
Amoxi Clave    (Novartis)
Amoxicap    (Don Valley)
Amoxicillin    (Euro)
Amoxicillin    (Amros)
Amoxicillin    (Dosaco)
Amoxicillin    (Swiss Pharma)
Amoxicillin    (Medimarkers)
Amoxidox    (Star)
Amoxigen    (Pharmaagen)
Amoxil    (Gsk)
Amoxilite    (Elite)
Amoxilite Plus    (Elite)
Amoxillin    (Ideal)
Amoximed    (Mediate)
Amoxipen    (Lisko)
Amoxipen Paediatric    (Lisko)
Amoxy    (Dosaco)
Amoxycillin    (Munawar)
Amoxycillin    (Haji)
Amoxygen    (Genera)
Amoxypen    (Medicaids)
Amparcel    (Adcare)
Amparcet    (Aims)
Ampcigen    (Genera)
Amper    (Novamed)
Amphidryl    (Syntex)
Amphiline    (Elite)
Amphyll    (Gsk)
Ampi  Plus    (Don Valley)
Ampicap    (Don Valley)
Ampicap    (Irza)
Ampiceena    (Mediceena)
Ampicil    (Epla)
Ampicillin    (Irza)
Ampicillin    (Geofman)
Ampicillin    (Shifa)
Ampicillin    (Pliva)
Ampicillin    (Dosaco)
Ampicillin    (Wilsons)
Ampicillin    (Swiss Pharma)
Ampicillin    (Haji)
Ampicillin    (Amros)
Ampicin    (Dosaco)
Ampiclox    (Gsk)
Ampicloxacillin    (Haji)
Ampilin    (Pharmawise)
Ampilite    (Elite)
Ampillin    (Semos)
Ampimaz    (Hamaz)
Ampin    (Bosch)
Ampipeed    (Irza)
Ampitam    (English)
Ampiwil    (Wilshire)
Amplipen    (Pdh)
Amplox    (Munawar)
Amplus    (Bosch)
Ampra    (Mendoza)
Ampress    (Barrett)
Amprexa    (Amarant)
Amprexa    (Shrooq)
Amprox    (Valor)
Amprox    (Rogen)
Amrid    (Jawa)
Amro    (Amarant)
Amrobion    (Amros)
Amrofec-L    (Amros)
Amrofen    (Amros)
Amrokort    (Amros)
Amrolka    (Amros)
Amron    (Amros)
Amropyron    (Amros)
Amroquin    (Ambrosia)
Amroton    (Amros)
Amrotose    (Ambrosia)
Amrotose-F    (Ambrosia)
Amrovil    (Amros)
Amrx    (Siza)
Amsidal    (English)
Amsipol    (English)
Amsolide    (Amson)
Amsonex    (Amson)
Amsos    (Amson)
Amspor    (Wilshire)
Amspor Forte    (Wilshire)
Amstan    (Getz)
Amstatin    (Obs)
Amtalidin    (English)
Amtas    (Getz)
Amtec    (Shrooq)
Amtorin    (Global)
Amtorin Plus    (Global)
Amtran    (Gaba)
